iter	Passed	Remaining
0	17	17652
1	36	18161
2	54	18000
3	70	17648
4	88	17653
5	105	17504
6	123	17566
7	142	17618
8	159	17613
9	178	17641
10	197	17721
11	215	17760
12	235	17907
13	254	17959
14	274	17999
15	293	18065
16	312	18057
17	331	18085
18	350	18089
19	370	18141
20	389	18142
21	408	18150
22	429	18236
23	451	18380
24	472	18414
25	493	18486
26	513	18501
27	533	18523
28	554	18553
29	574	18576
30	596	18652
31	619	18744
32	640	18768
33	661	18792
34	681	18792
35	701	18790
36	721	18767
37	740	18753
38	761	18770
39	782	18771
40	801	18755
41	822	18758
42	843	18774
43	864	18793
44	885	18801
45	907	18830
46	928	18821
47	949	18827
48	969	18808
49	989	18792
50	1009	18781
51	1030	18785
52	1051	18782
53	1072	18780
54	1092	18778
55	1115	18806
56	1136	18806
57	1157	18793
58	1177	18780
59	1198	18772
60	1218	18763
61	1239	18751
62	1262	18773
63	1282	18754
64	1302	18736
65	1323	18724
66	1343	18704
67	1364	18703
68	1384	18675
69	1404	18660
70	1424	18642
71	1445	18633
72	1465	18607
73	1484	18578
74	1506	18581
75	1526	18564
76	1547	18552
77	1567	18532
78	1589	18535
79	1610	18516
80	1630	18495
81	1651	18486
82	1671	18469
83	1692	18455
84	1713	18443
85	1733	18427
86	1755	18426
87	1775	18398
88	1794	18373
89	1814	18351
90	1835	18330
91	1855	18314
92	1875	18289
93	1895	18269
94	1915	18243
95	1935	18222
96	1955	18204
97	1975	18186
98	1996	18166
99	2016	18152
100	2038	18142
101	2059	18129
102	2081	18127
103	2102	18111
104	2123	18102
105	2145	18092
106	2165	18072
107	2185	18053
108	2207	18048
109	2228	18033
110	2249	18019
111	2270	18000
112	2290	17978
113	2310	17957
114	2331	17939
115	2351	17919
116	2372	17904
117	2392	17884
118	2412	17862
119	2432	17840
120	2452	17817
121	2473	17797
122	2493	17775
123	2513	17756
124	2532	17729
125	2553	17709
126	2573	17690
127	2593	17668
128	2613	17643
129	2632	17619
130	2653	17599
131	2673	17578
132	2692	17553
133	2712	17529
134	2732	17506
135	2753	17490
136	2773	17469
137	2795	17461
138	2815	17438
139	2835	17418
